20,Belgium,50.503887,4.469936,1141053.913,1134733.558,1104900.878,1149852.806,1142929.186,1115099.496,1100677.407,1078882.247,1087056.6,1070616.953,1135498.691,1088668.975,1051709.801,1070379.927,1040616.991,1067879.302,1057980.569,1059195.551,1093596.712,1070532,972973.6349
21,Belize,17.189877,-88.49765,158682.8772,55771.3621,57063.6008,72431.2367,54312.0417,56721.1975,66871.8421,58087.374,56732.6085,69181.2373,57836.725,95715.8512,88167.6639,91820.3992,89283.0184,91499.5719,87653.7636,88611.058,86949.3844,89209.0524,89904.9236
22,Benin,9.30769,2.315834,318928.9303,251036.9791,263964.282,260323.0445,260117.1241,276048.198,274966.1517,281589.0584,276517.7537,282510.7697,289089.5657,291456.7665,291186.2627,298116.1377,299892.3383,304497.2635,316157.598,319901.2143,330359.1617,339157.4064,339063.8647
23,Bermuda,32.321384,-64.75737,322.4393,317.723,337.8383,331.4907,340.3114,374.1909,441.7433,395.2432,378.2188,384.3476,384.1839,346.282,335.5445,340.5478,359.1893,318.5784,450.1627,308.1701,406.3829,412.1707,411.2476
24,Bhutan,27.514162,90.433601,-43161.9039,-35937.4406,-35548.7092,-35833.6027,-36067.8015,-33906.3338,-34119.4197,-33170.6256,-34954.0298,-33048.9555,-31970.0076,11400.3515,12396.0196,12034.0302,12270.8442,-3269.5485,13605.391,14465.0351,14190.3907,15215.9618,15293.2592
25,Bolivia (Plurinational State of),-16.290154,-63.588653,1862129.128,1389421.113,1580889.369,1423263.611,1847335.074,1643828.01,1680304.825,1749798.972,1648452.817,1622802.552,2034626.964,1790095.014,1804591.768,1792909.044,1791283.88,1850887.618,2009209.352,1991956.381,2008326.836,2220663.736,2167425.383
26,Bosnia and Herzegovina,43.915886,17.679076,169513.0634,141054.1664,155633.5529,161326.0274,175051.401,181565.3336,194261.55,193565.0993,213929.3865,219782.6083,224378.4664,213411.9276,202989.2487,197078.6256,188063.5592,187704.4952,223368.8163,225153.1203,223739.5474,222941.8061,220582.3287
27,Botswana,-22.328474,24.684866,687097.5245,796625.6604,799688.7925,685640.3437,695411.9189,715296.4908,749385.8519,718650.3994,860894.9388,713643.0852,900855.7279,966855.104,776639.4931,762728.4709,724112.6155,710243.5133,699053.4461,753087.4217,718463.6539,689191.7255,736865.8446
28,Brazil,-14.235004,-51.92528,32296738.16,35219096.48,37042905.54,39294353.74,40356997.18,38252562.92,36031529.16,35957286.45,36179000.69,34193624.7,33919315.28,23314981.05,21709442.61,23821258.98,23937117.82,22632556.42,21865702.34,21564421.78,21122841.8,21439727.87,21573479.59
29,British Virgin Islands,18.420695,-64.639968,912.7739,935.6318,982.2232,1062.6667,1156.6069,1328.2707,1356.3058,1389.9287,1410.7937,1429.0902,1486.5707,1528.5121,1527.8857,1546.1262,1616.4088,1614.1919,1618.4335,1295.9781,1323.3767,1399.7498,1243.6772
30,Brunei Darussalam,4.535277,114.727669,84815.5964,88966.1656,83095.4604,88955.5188,88371.5446,88716.3363,94587.0536,117934.6833,132834.0279,116412.8378,110184.7951,115829.3744,114538.1318,101779.4468,109487.4648,96323.0015,99289.7185,110247.4216,112306.586,119930.593,118091.3221
31,Bulgaria,42.733883,25.48583,260143.3244,276657.8855,267944.3423,292316.0862,283523.136,292710.6208,296989.3785,325306.2697,311358.307,257092.7684,269433.2881,398566.0047,357354.8947,338837.9114,360050.8248,384107.7994,216088.7084,240343.7471,226323.3335,220910.4997,172845.013
32,Burkina Faso,12.238333,-1.561593,438435.4448,444931.5525,455251.1268,513135.6251,523506.8743,536074.8916,534289.5019,583861.0846,555890.0727,567518.3698,585851.2826,502274.6979,509058.679,523106.3665,530529.4079,542033.1845,710113.9638,720550.606,725054.735,734049.1962,747717.349
33,Burundi,-3.373056,29.918886,113230.5927,86049.6836,85949.7404,86129.3614,87517.0359,81955.6215,90998.3088,92527.7392,94791.8808,97254.609,100729.158,65695.9755,64138.6898,72450.6544,71741.9022,70784.234,116925.2644,126402.5102,127918.8748,120424.2372,117462.0123
34,Cote d'Ivoire,7.449958,-5.572321,1695805.458,586703.0139,596408.4654,581345.6086,577865.7469,605420.4764,598023.6792,603224.5706,596418.8872,588889.0112,595150.2342,606536.6804,626967.4111,646036.938,636581.9626,640257.4231,682649.4287,667704.5627,669188.2856,673761.0708,682571.9225
35,Cabo Verde,16.002082,-24.013197,1547.9021,4841.8686,5157.6503,4966.7863,5298.1736,6127.7256,6324.906,6481.5885,6180.8512,6708.5834,7040.6371,7477.9439,6747.9143,6816.141,6816.6126,6905.3246,7305.4847,7211.1891,8269.3151,8416.2071,8607.8596
36,Cambodia,12.565679,104.990963,425096.3318,473458.5779,510176.0383,549774.4833,556123.1661,548280.1432,593382.6413,602179.6265,598628.3287,626997.197,628088.8397,1597355.143,1566953.099,1565366.738,1560696.237,1595832.533,1022183.804,1002015.416,993016.5159,1009630.119,1009346.841
37,Cameroon,7.369722,12.354722,1077915.505,956464.4357,952467.7619,1006756.755,954438.314,1000709.97,953852.1232,960527.0646,961649.7746,955864.2507,965169.7907,847117.384,846009.7937,856081.5896,865743.4253,892246.7923,910747.4013,890350.0473,892942.7818,905567.832,918901.1624
38,Canada,56.130366,-106.346771,6884513.977,8667788.566,8720293.417,8975740.737,9102678.861,9248148.889,9276541.288,9341473.91,9184660.394,8871130.413,8928512.819,7531490.789,7580399.173,7738461.927,7868728.227,7967789.053,7155215.985,7293546.56,7432979.997,7368642.558,6909017.064
39,Cayman Islands,19.513469,-80.566956,108.393,88.6671,87.824,89.4119,89.478,91.6723,191.3677,252.3745,287.7963,303.6043,315.6851,269.2804,269.9726,275.7285,278.6768,280.5374,265.5886,268.7016,272.697,274.4485,275.1182
40,Central African Republic,6.611111,20.939444,649060.6603,851682.9708,775152.0562,-2382962.089,-2597466.651,-2470977.924,-2549787.469,-2502340.591,-2511786.054,-2737749.337,-2594372.851,959409.6572,874167.8156,842791.4144,785087.1506,823991.4793,961315.6021,866348.7122,863373.1432,833327.3804,830509.1265
41,Chad,15.454166,18.732207,726222.8612,742020.6173,784927.4395,837391.3545,903737.6746,934317.176,965587.9254,1013292.231,1025858.02,1034171.376,1099759.037,1272505.654,1323951.181,1350731.537,1396376.856,1476726.997,1530218.749,1562699.76,1634985.268,1681696.017,1769508.575
42,Chile,-35.675147,-71.542969,560024.2359,450591.0808,470597.1783,475553.9298,521306.8672,529046.9149,564603.7113,588692.5404,611064.0316,568253.6625,494973.078,290342.0053,308804.9899,172899.677,244735.3362,270074.657,374451.3931,497621.8118,279655.886,516988.7556,461248.3091
43,China,35.86166,104.195397,41391835.69,42117000.65,44600073.84,49699099.43,55367060.93,60686526.74,65334641.81,68791517.93,72149326.98,74820046.06,80342920.39,83525460.99,86824646.04,87685195.67,88946007.43,88386387.62,88152111.77,89644823.49,91230986.24,93225916.92,94472805.74
44,Colombia,4.570868,-74.297333,3323527.097,2994498.012,2995622.606,3041093.174,3277818.208,3068477.009,3082688.317,3138403.397,3170398.155,3219974.749,3290165.458,2855463.673,2824976.806,2894352.141,2919400.666,2739312.314,3215279.358,3219019.541,3320162.452,3398124.495,3379183.623
45,Comoros,-11.875001,43.872219,1184.5634,7053.552,7169.4166,7214.8456,7302.1204,7997.8041,7903.9544,7164.372,7676.2088,7946.9382,8403.4168,8576.0936,8811.3775,9185.5506,9191.5206,9449.0362,9643.3064,10048.9351,10203.448,10035.2085,10116.223
46,Congo,-0.228021,15.827659,103417.2669,259761.4632,226473.3847,255968.8085,263857.0754,291979.4472,306027.5397,281054.4895,279154.4946,289026.4696,309619.1327,309134.4009,305347.5044,304975.0784,296907.5916,304314.3717,321598.0875,323500.5622,332306.7667,325732.631,317270.8705
47,Cook Islands,-21.236736,-159.777671,490.9978,499.3994,414.2309,458.1741,594.9169,655.4532,620.0506,616.6997,624.0125,605.9349,669.8241,742.1222,762.6375,753.2162,776.6636,742.1175,727.8585,752.0115,755.7022,787.4023,753.3371
48,Costa Rica,9.748917,-83.753428,174683.8507,120287.8729,121626.8277,125023.895,121656.7271,136874.6736,126770.2943,138742.6623,141931.5176,137182.6084,139425.3274,87176.0281,85433.1121,89583.3832,88408.708,88796.9524,97528.3693,101378.3581,107122.5371,114032.3259,98246.1444
49,Croatia,45.1,15.2,200158.3022,207083.2965,218112.8307,228880.6915,239498.8658,238036.701,249471.878,263987.8344,258903.0127,222146.8298,220188.4778,218143.1001,199843.1587,195205.3392,192189.4247,198949.164,178458.1389,188183.4285,177434.6504,179294.8707,179728.0141
50,Cuba,21.521757,-77.781167,373086.3637,362331.9842,390715.7754,381210.5163,373297.2587,363757.4703,374991.4114,367757.0994,384112.5366,401129.1959,431568.0142,389171.6416,388842.0401,381613.3994,370369.093,373009.1719,450750.5564,426048.6165,429968.7373,434714.9765,403198.0024
51,Cyprus,35.126413,33.429859,62944.3153,61447.3184,62971.5526,67321.5707,64774.0468,65025.9011,67321.7356,70439.8573,71971.9813,69486.1519,69387.4065,67157.3475,63928.9484,58585.7327,60878.8015,61170.5194,66113.315,66783.327,66625.3299,67034.9635,62799.3711
52,Czechia,49.817492,15.472962,1010151.014,1041168.322,993467.0958,1010370.96,985249.6935,994958.0233,1016398.248,1030116.88,976202.7093,947817.8814,955140.0404,955430.8539,934662.5539,921375.0122,897447.3334,927031.2849,927813.1007,932512.5458,947463.8864,954625.8772,856779.3101
53,Democratic People's Republic of Korea,40.339852,127.510093,806303.9927,772991.4647,735955.4277,765363.4315,786472.7315,818903.2613,832186.1657,734409.3219,784318.7388,657838.6367,637780.89,571399.3057,575591.8805,512092.4763,541613.3813,500154.6271,537855.1862,476322.1104,485610.0661,491387.1795,486646.5233
54,Democratic Republic of the Congo,-4.038333,21.758664,9813383.928,10969897.81,11303000.14,11404317.36,11227077.19,11204902.35,11895429.25,11125865.61,12240657.5,11238578.2,6878243.886,9595615.618,9585102.58,9635728.427,9620240.762,9679483.132,9684525.901,9698581.014,9602257.233,9668782.474,9687869.559
55,Denmark,56.26392,9.501785,731798.1284,736963.606,726491.2081,747720.5251,699730.307,675212.0562,722297.2653,747700.9599,673400.398,643525.7225,653116.4095,600369.3603,570927.2334,578993.7433,554499.1345,536966.2367,586172.7278,570533.0357,572243.4606,551612.4061,514480.0665
56,Djibouti,11.825138,42.590275,7873.4631,18627.8994,18879.2543,19010.1627,18865.106,19028.9139,18995.3601,19443.7935,19828.7088,19495.4224,19887.6191,19681.8075,20038.921,20604.0034,19679.6032,20122.2693,20127.532,20306.5165,20472.5197,20387.9369,20214.5627
57,Dominica,15.414999,-61.370976,2647.0206,1816.9942,1656.3755,1786.7785,1926.0094,1944.5774,2010.4037,2297.5097,2147.9126,2109.2271,2146.5601,2113.4506,2149.6279,2201.3565,2226.3924,2254.092,2204.7656,-3438.0663,2122.5497,2194.3875,2041.2449
58,Dominican Republic,18.735693,-70.162651,217987.5595,279890.0111,299852.4797,296452.2794,286347.2633,289174.9772,298842.0335,318726.3131,322725.0276,321829.541,358385.9101,352102.9652,353397.3282,359718.4244,359435.2619,373670.2699,388760.7112,392578.7604,399068.313,404216.6835,386767.2718
59,Ecuador,-1.831239,-78.183406,1086208.75,1003400.887,1008595.053,1023152.292,1053655.187,1060876.119,1057517.212,1075006.93,1059516.951,1091637.554,1234512.244,994376.2035,1088317.125,1004775.23,1014350.714,903777.0462,1011179.209,1042213.268,1023159.14,1024398.758,981041.3442
60,Egypt,26.820553,30.802498,2071470.63,1870297.174,1942064.273,2062836.158,2106439.31,2433164.011,2377656.082,2452772.755,2501364.826,2529991.07,2524879.354,2658976.349,2637925.234,2639862.331,2743104.959,2690602.941,2800355.753,2927687.475,2878222.663,2812239.018,2651881.656
61,El Salvador,13.794185,-88.89653,128792.4623,136293.3275,139729.7528,140921.7493,142229.7041,167139.636,150851.4771,153575.9172,150630.9105,147039.0925,144528.0616,139637.7144,142131.8015,131540.4729,134640.545,139326.9186,134385.6219,128099.1511,132212.6524,131535.2491,125078.1534
62,Equatorial Guinea,1.650801,10.267895,161309.0084,153805.0133,141631.7751,151583.5716,172679.1488,180692.7354,178204.3461,177202.7631,187829.035,176244.849,180402.111,184321.6154,181020.7556,179508.7712,171499.2552,164087.1988,161660.6445,153441.239,163881.5528,166677.0244,162919.151
63,Eritrea,15.179384,39.782334,128119.6113,89812.2983,88909.6715,91786.8306,92727.4087,94283.9865,90460.026,95891.384,94983.2418,95966.9058,94260.0255,98860.9182,99191.4257,100249.3084,100838.9982,101446.755,101843.7564,102906.9846,103953.804,104145.5247,104453.333
64,Estonia,58.595272,25.013607,193033.3759,199397.2773,194303.7598,203250.6691,214714.5064,222158.9726,213824.7328,228758.8264,223482.7679,204771.5331,225596.0825,189614.197,193240.4962,211429.7098,213340.5311,200348.8323,265679.7082,272337.5204,272749.7666,252480.477,246342.0889
65,Eswatini,-26.593757,31.509011,36225.1433,33938.8386,34285.5983,34031.1934,33964.9597,34396.4282,33088.8173,35747.1692,34858.6783,33337.1418,33412.0492,33033.1259,34407.6363,36719.7675,32991.4401,33175.2119,35004.8919,33703.4026,34255.7793,34393.0039,32390.7985
66,Ethiopia,9.145,40.489673,1976692.042,2159332.667,2333435.088,2297883.034,2233500.824,2287217.263,2400562.73,2578026.417,2700706.98,2769906.384,2883660.506,2909732.891,2871322.201,2922956.479,2636681.934,2685352.154,2764088.871,2820144.656,2852061.371,3030561.261,3145915.279
67,Falkland Islands (Malvinas),-51.796253,-59.523613,102831.0086,102739.8076,102693.4211,102673.1704,102684.3955,102608.5219,102613.6018,102592.9801,102593.0813,102589.5457,102592.7293,102592.5718,102606.816,102611.111,102611.7934,102612.4632,102613.7124,102613.8121,102612.329,102615.6164,102606.4584
